STT,iso_code,country,population_2021,population_2020,area,density,growth_rate,world_percent,rank
133,BIH,Bosnia And Herzegovina,3251612,3280819,51209,63.49688531312855,-0.8902350297288586,0.04158047251051565,136.0
134,JAM,Jamaica,2980575,2961167,10991,271.1832408334092,0.655417272987302,0.038114546524317845,137.0
135,ARM,Armenia,2970929,2963243,29743,99.88666240796154,0.25937798553814506,0.03799119686333848,138.0
136,QAT,Qatar,2962425,2881053,11586,255.69005696530294,2.8243840012662114,0.03788245069736621,139.0
137,ALB,Albania,2869700,2877797,28748,99.82259635452901,-0.28136105500145003,0.036696715956094014,140.0
138,PRI,Puerto Rico,2806918,2860853,8870,316.45073280721533,-1.8852768737156356,0.03589388178487211,141.0
139,LTU,Lithuania,2670680,2722289,65300,40.89862174578867,-1.895794311331378,0.03415171807841278,142.0
140,NAM,Namibia,2614500,2540905,825615,3.166730255627623,2.896408956651264,0.03343330796501648,143.0
141,GMB,Gambia,2528326,2416668,10689,236.5353166806998,4.6203284853360005,0.03233134511147763,144.0
142,BWA,Botswana,2423535,2351627,582000,4.1641494845360825,3.057797856547828,0.030991314598965848,145.0
143,GAB,Gabon,2310507,2225734,267668,8.631988134554748,3.808766007079023,0.029545952222729523,146.0
144,LSO,Lesotho,2169209,2142249,30355,71.4613408005271,1.258490492935227,0.027739083012998825,147.0
145,MKD,North Macedonia,2082011,2083374,25713,80.97114300159453,-0.06542272294844942,0.026624025607019288,148.0
146,SVN,Slovenia,2078724,2078938,20273,102.53657574113353,-0.010293717272957803,0.026581992605190636,149.0
147,GNB,Guinea Bissau,2043512,1968001,36125,56.567806228373705,3.8369391072463843,0.026131713913255597,150.0
148,LVA,Latvia,1855735,1886198,64559,28.74479158599111,-1.615047836971517,0.0237304875717957,151.0
149,BHR,Bahrain,1775452,1701575,765,2320.8522875816993,4.341683440342026,0.022703856757737402,152.0
150,GNQ,Equatorial Guinea,1477483,1402985,28051,52.67131296566967,5.309964112232124,0.018893533812230426,153.0
151,TTO,Trinidad And Tobago,1405746,1399488,5130,274.02456140350876,0.4471635340924651,0.017976186245396847,154.0
152,TLS,Timor Leste,1358744,1318445,14874,91.35027564878311,3.056555260173921,0.017375141173309756,155.0
153,EST,Estonia,1324323,1326535,45227,29.281690140845072,-0.1667502176723623,0.016934977511629194,156.0
154,MUS,Mauritius,1274295,1271768,2040,624.6544117647059,0.19869976284982993,0.01629523701406796,157.0
155,CYP,Cyprus,1220541,1207359,9251,131.936115014593,1.09180450884947,0.015607849736825084,158.0
156,DJI,Djibouti,1010377,988000,23200,43.55073275862069,2.264878542510118,0.012920346300160436,160.0
157,FJI,Fiji,906570,896445,18272,49.61525831873905,1.12946137242107,0.01159289883413463,161.0
158,RU,Reunion,905350,895312,2511,360.55356431700517,1.1211734010043495,0.011577297902515844,162.0
159,COM,Comoros,899658,869601,1862,483.1675617615467,3.4564127686145696,0.011504510605159992,163.0
160,GUY,Guyana,792481,786552,214969,3.6864896799073357,0.7537963160731964,0.010133968762449503,164.0
161,BTN,Bhutan,784855,771608,38394,20.44212637391259,1.7168043877201944,0.010036450152183215,165.0
162,SLB,Solomon Islands,714126,686884,28896,24.713662790697676,3.966026286825719,0.009131992535408437,166.0
163,MAC,Macau,663998,649335,30,22133.266666666666,2.258156421569768,0.008490973272960419,167.0
164,LUX,Luxembourg,640202,625978,2586,247.5645784996133,2.2722843294812334,0.008186678380500854,168.0
165,MNE,Montenegro,628053,628066,13812,45.471546481320594,-0.0020698461626666997,0.00803132123440524,169.0
166,ESH,Western Sahara,620280,597339,266000,2.33187969924812,3.8405327628030284,0.007931922839755374,170.0
167,SUR,Suriname,594817,586632,163820,3.6309180808204125,1.3952529013077974,0.007606310936633089,171.0
168,CPV,Cape Verde,565346,555987,4033,140.18001487726258,1.6833127393266478,0.0072294461368484254,172.0
169,MDV,Maldives,546203,540544,300,1820.6766666666667,1.0469082997868862,0.006984652174571007,173.0
170,MLT,Malta,443646,441543,316,1403.9430379746836,0.47628430300106217,0.005673189269630026,174.0
171,BRN,Brunei,443903,437479,5765,76.99965307892454,1.4684133409832212,0.005676475695389065,175.0
172,BLZ,Belize,409224,397628,22966,17.81868849603762,2.91629362117356,0.005233012820300594,176.0
173,BHS,Bahamas,399068,393244,13943,28.62138707595209,1.481014332068642,0.005103141458398622,178.0
174,MTQ,Martinique,374314,375265,1128,331.8386524822695,-0.2534209158861045,0.004786595998323649,179.0
175,ISL,Iceland,344646,341243,103000,3.3460776699029124,0.997236573350957,0.004407212031712018,180.0
176,VUT,Vanuatu,318774,307145,12189,26.152596603494956,3.7861596314444412,0.004076369980202778,181.0
177,NCL,New Caledonia,289727,285498,18575,15.597685060565276,1.4812713223910423,0.0037049271435380875,183.0
178,BRB,Barbados,287927,287375,430,669.5976744186047,0.1920835145715616,0.0036819093755759424,184.0
179,PYF,French Polynesia,283392,280908,4167,68.0086393088553,0.8842752787389552,0.003623917387960203,185.0
180,MYT,Mayotte,283394,272815,374,757.7379679144385,3.87771933361436,0.003623942963257939,186.0
181,STP,Sao Tome And Principe,225954,219159,964,234.3921161825726,3.1004886862962433,0.002889420412288137,187.0
182,WSM,Samoa,201011,198414,2842,70.72871217452499,1.3088794137510407,0.002570458086577138,188.0
